iter,summary_score,diff_score,semantic_score,aggregate_score,rationale,key_changes,commit_hash,timestamp
262,40,0,10,17,"Git sync only, no product work","git_bus.py autostash",cc21e6d8,"2025-11-11 10:47"
263,0,20,15,12,"Test artifact commits, no implementation","plans/ artifacts only",69fb9afa,"2025-11-11 11:08"
264,55,20,20,32,"Planning hub creation, test evidence","hub 2025-11-12T010500Z created",60d1cfa8,"2025-11-11 11:19"
265,50,20,18,29,"Post-verify rescope planning","--post-verify-only directive",6cd543c7,"2025-11-11 11:27"
266,0,20,25,15,"Test file added","tests/study/test_check_dense_highlights_match.py",b77f9475,"2025-11-11 11:38"
267,52,20,22,31,"--post-verify-only spec planning","spec drafted in plan.md",ddbb79fd,"2025-11-11 11:49"
268,48,20,20,29,"Planning after merge, no execution","commit 3947c851 acknowledged",2dae648b,"2025-11-11 12:00"
269,45,20,18,28,"TYPE-PATH-001 violation discovery","path guard identified",0da6d01d,"2025-11-11 12:11"
270,47,20,20,29,"Banner fix verification planning","commit 7dcb2297 landed",dfbf1980,"2025-11-11 12:22"
271,46,20,19,28,"Digest guard planning (dwell=2)","digest regression guard focus",f6ab20c9,"2025-11-11 12:33"
272,48,20,21,30,"Post digest-guard merge planning","commit 4cff9e38 landed",2d32fe99,"2025-11-11 12:44"
273,44,20,18,27,"Verification assertion rescope","verification banner assertions",c8d9a666,"2025-11-11 12:55"
274,46,20,20,29,"Full-run guards confirmed","commit 6a51d47a landed",e7ecb6f6,"2025-11-11 13:06"
275,45,20,19,28,"Post-verify guards merged","commit ba93f39a done",c1b1ee34,"2025-11-11 13:17"
276,42,20,17,26,"Fourth planning loop, evidence gap","dwell=2, missing artifacts",c6527d0e,"2025-11-11 13:28"
277,40,20,16,25,"Workspace blocker discovered","PtychoPINN2 vs PtychoPINN",230e9fd7,"2025-11-11 13:39"
278,43,0,15,19,"Persistent planning, no code changes","repo-path guard emphasis",e7ecb6f6,"2025-11-11 13:50"
279,41,0,14,18,"Workspace mismatch documentation","blocker doc created",c1b1ee34,"2025-11-11 14:01"
280,40,0,13,18,"Transition to ready_for_implementation","pwd guard added",c8d9a666,"2025-11-11 14:12"
281,38,20,16,25,"Workspace error persists","pickle error from PtychoPINN2",2d32fe99,"2025-11-11 14:23"
282,35,0,12,16,"Git rebase blocked","unstaged changes blocking",f6ab20c9,"2025-11-11 14:34"
283,37,0,13,17,"Git stash workflow","third planning loop",dfbf1980,"2025-11-11 14:45"
284,39,0,14,18,"Git stash successful","directive refresh",0da6d01d,"2025-11-11 14:56"
285,68,0,35,34,"Dense rerun started, Phase C initiated","Phase C dose_1000 complete (4.7GB)",0da6d01d,"2025-11-11 15:07"
286,25,20,12,19,"Git sync failure blocked execution","repeated rebase failures",2dae648b,"2025-11-11 15:18"
287,42,20,18,27,"NPZ fix merged, planning refresh","commit 5cd130d3 landed",ddbb79fd,"2025-11-11 15:29"
288,35,20,15,23,"Git blocked, Phase C incomplete","200+ git failures",b77f9475,"2025-11-11 15:40"
289,72,20,40,44,"Pytest GREEN, dense pipeline launched","1 test passed, PYTHONPATH fixed, Phase C→G running",6cd543c7,"2025-11-11 15:51"
290,45,20,22,29,"Test passed but ModuleNotFoundError blocked CLI","subprocess ptycho import failed",60d1cfa8,"2025-11-11 16:02"
291,0,20,10,10,"Minimal evidence artifacts","orchestration refactor only",69fb9afa,"2025-11-11 16:13"
292,58,30,40,43,"PYTHON-ENV-001 policy established + dose filtering","Policy commit 811f4264 + generator fix c8eb30bb",cc21e6d8,"2025-11-11 16:24"
293,0,0,0,0,"Pure git sync, no work","16 consecutive git fetches",c08b7f25,"2025-11-11 16:35"
