iter,summary_score,diff_score,semantic_score,aggregate_score,rationale,key_changes
262,40,0,10,17,"Git sync only, no product work","git_bus.py autostash"
263,0,20,15,12,"Test artifact commits, no implementation","plans/ artifacts only"
264,55,20,20,32,"Planning hub creation, test evidence","hub 2025-11-12T010500Z created"
265,50,20,18,29,"Post-verify rescope planning","--post-verify-only directive"
266,0,20,25,15,"Test file added","tests/study/test_check_dense_highlights_match.py"
267,52,20,22,31,"--post-verify-only spec planning","spec drafted in plan.md"
268,48,20,20,29,"Planning after merge, no execution","commit 3947c851 acknowledged"
269,45,20,18,28,"TYPE-PATH-001 violation discovery","path guard identified"
270,47,20,20,29,"Banner fix verification planning","commit 7dcb2297 landed"
271,46,20,19,28,"Digest guard planning (dwell=2)","digest regression guard focus"
272,48,20,21,30,"Post digest-guard merge planning","commit 4cff9e38 landed"
273,44,20,18,27,"Verification assertion rescope","verification banner assertions"
274,46,20,20,29,"Full-run guards confirmed","commit 6a51d47a landed"
275,45,20,19,28,"Post-verify guards merged","commit ba93f39a done"
276,42,20,17,26,"Fourth planning loop, evidence gap","dwell=2, missing artifacts"
277,40,20,16,25,"Workspace blocker discovered","PtychoPINN2 vs PtychoPINN"
278,43,0,15,19,"Persistent planning, no code changes","repo-path guard emphasis"
279,41,0,14,18,"Workspace mismatch documentation","blocker doc created"
280,40,0,13,18,"Transition to ready_for_implementation","pwd guard added"
281,38,20,16,25,"Workspace error persists","pickle error from PtychoPINN2"
282,35,0,12,16,"Git rebase blocked","unstaged changes blocking"
283,37,0,13,17,"Git stash workflow","third planning loop"
284,39,0,14,18,"Git stash successful","directive refresh"
285,68,0,35,34,"Dense rerun started, Phase C initiated","Phase C dose_1000 complete (4.7GB)"
286,25,20,12,19,"Git sync failure blocked execution","repeated rebase failures"
287,42,20,18,27,"NPZ fix merged, planning refresh","commit 5cd130d3 landed"
288,35,20,15,23,"Git blocked, Phase C incomplete","200+ git failures"
289,72,20,40,44,"Pytest GREEN, dense pipeline launched","1 test passed, PYTHONPATH fixed, Phase C→G running"
290,45,20,22,29,"Test passed but ModuleNotFoundError blocked CLI","subprocess ptycho import failed"
291,0,20,10,10,"Minimal evidence artifacts","orchestration refactor only"
